title,company,location,job_type,date_posted
Docteur en pharmacie,Pharmacie Gambetta,"114 Avenue Lamine Gueye, Dakar, Sénégal (à côté Centre commercial Touba Sandaga)",CDD,Publié le 19 mai 2025
Commercial Terrain,Tabasite,"Dakar, Sénégal",CDD,Publié le 19 mai 2025
Appel d’offres visant la sélection d’une compagnie d’assurance pour la prise en charge de la couverture maladie du personnel de MAG International,MAG International,"Dakar, Sénégal",Prestation de Services,Publié le 19 mai 2025
Community manager,"KaliaKalia est une société de construction, promotion et gestion immo","Point E, Dakar",Stage,Publié le 19 mai 2025
Agents en Prise de Rendez-vous (Déshumidificateur d’air),AMK CALL,"Zac Mbao, Cité Serigne Babacar Sy",Prestation de Services,Publié le 19 mai 2025
Superviseur/Responsable d’équipe en TLV,SHY Performance SénégalSHY Performance Sénégal,Sénégal,CDI,Publié le 19 mai 2025
Vendeur/se en boutique de luxe,SODILUXE,"Dakar, Sénégal",CDD,Publié le 19 mai 2025
Chargé.e D’Évaluation Senior,IMPACT Initiatives,"Dakar, Sénégal",CDD,Publié le 19 mai 2025
Analyste sénior,IMPACT Initiatives,"Dakar, Sénégal",CDD,Publié le 19 mai 2025
Responsable contrôle de gestion,Topwork,"Dakar, Sénégal",CDD,Publié le 19 mai 2025
Formation – ONG EHI PARIS,ONG EHI Paris,"Almadies, Dakar",CDI,Publié le 19 mai 2025
Sales & Field Operations Manager,RMO SN,"Dakar, Sénégal",CDD,Publié le 19 mai 2025
Operations & Logistics Manager,RMO SN,"Dakar, Sénégal",CDD,Publié le 19 mai 2025
Customer Care Manager,RMO SN,"Dakar, Sénégal",CDD,Publié le 19 mai 2025
Finance Manager,RMO SN,"Dakar, Sénégal",CDD,Publié le 19 mai 2025
HR Manager,RMO SN,"Dakar, Sénégal",CDD,Publié le 19 mai 2025
Chef Comptable,SERVTEC Sénégal,"Dakar, Sénégal",CDD,Publié le 19 mai 2025
Responsable chargé d’investissement et de financement,CCBM,"Dakar, Sénégal",CDD,Publié le 19 mai 2025
